OrderID,Date,Product,Quantity,Price,Category
1,2024-07-06 02:03:00.904522612,Headphones,2,1671,Electronics
2,2024-11-24 07:35:52.763819096,Book,2,1077,Stationery
3,2024-06-17 17:50:57.286432160,Watch,3,1108,Accessories
4,2024-01-26 16:16:53.065326633,Shirt,2,195,Clothing
5,2024-07-13 10:07:50.351758794,Shirt,3,1787,Clothing
6,2024-05-10 05:25:37.688442210,Pen,4,762,Stationery
7,2024-12-10 19:46:44.020100500,Watch,1,1313,Accessories
8,2024-02-06 16:24:07.236180904,Laptop,1,1859,Electronics
9,2024-07-06 02:03:00.904522612,Jeans,4,136,Clothing
10,2024-08-09 22:25:55.778894472,Shoes,1,1903,Footwear
11,2024-05-15 17:29:14.773869346,Shirt,4,1492,Clothing
12,2024-06-08 13:44:55.477386934,Bag,4,1818,Accessories
13,2024-07-31 18:19:53.969849244,Shirt,4,1648,Clothing
14,2024-06-30 13:59:23.819095476,Headphones,1,378,Electronics
15,2024-07-07 22:04:13.266331658,Shirt,3,316,Clothing
16,2024-10-03 23:02:06.633165828,Shirt,4,966,Clothing
17,2024-08-26 10:36:47.035175880,Jeans,2,972,Clothing
18,2024-09-30 06:59:41.909547736,Jeans,1,1921,Clothing
19,2024-04-05 09:02:42.814070351,Phone,4,1396,Electronics
20,2024-01-02 20:01:12.361809045,Laptop,4,161,Electronics
21,2024-06-08 13:44:55.477386934,Bag,2,695,Accessories
22,2024-10-14 23:09:20.804020100,Shirt,3,828,Clothing
23,2024-03-08 20:44:37.386934673,Shirt,3,1465,Clothing
24,2024-08-24 14:35:34.673366832,Shoes,3,496,Footwear
25,2024-12-16 07:50:21.105527636,Jeans,4,798,Clothing
26,2024-12-08 23:45:31.658291456,Bag,4,1142,Accessories
27,2024-02-06 16:24:07.236180904,Pen,4,276,Stationery
28,2024-10-20 11:12:57.889447236,Phone,1,1735,Electronics
29,2024-04-14 13:08:44.623115578,Laptop,2,495,Electronics
30,2024-02-08 12:25:19.597989949,Watch,4,544,Accessories
31,2024-06-10 09:46:07.839195980,Laptop,2,1356,Electronics
32,2024-03-29 00:57:53.366834170,Headphones,2,175,Electronics
33,2024-04-16 09:09:56.984924622,Shirt,3,364,Clothing
34,2024-11-05 23:23:49.145728640,Phone,1,554,Electronics
35,2024-12-08 23:45:31.658291456,Headphones,4,1919,Electronics
36,2024-01-26 16:16:53.065326633,Bag,3,817,Accessories
37,2024-12-12 15:47:56.381909548,Watch,3,834,Accessories
38,2024-12-12 15:47:56.381909548,Jeans,4,1507,Clothing
39,2024-11-15 03:29:50.954773868,Phone,2,1687,Electronics
40,2024-12-12 15:47:56.381909548,Phone,3,950,Electronics
41,2024-04-01 17:00:18.090452261,Shirt,2,1629,Clothing
42,2024-07-15 06:09:02.713567838,Book,1,1490,Stationery
43,2024-04-09 01:05:07.537688442,Phone,2,243,Electronics
44,2024-04-25 13:15:58.793969848,Shoes,1,984,Footwear
45,2024-08-26 10:36:47.035175880,Watch,2,1192,Accessories
46,2024-04-01 17:00:18.090452261,Watch,3,1222,Accessories
47,2024-09-02 18:41:36.482412060,Shoes,3,495,Footwear
48,2024-02-06 16:24:07.236180904,Pen,1,1148,Stationery
49,2024-05-12 01:26:50.050251256,Shoes,4,1047,Footwear
50,2024-10-31 11:20:12.060301508,Shoes,1,990,Footwear
51,2024-02-01 04:20:30.150753768,Watch,1,1592,Accessories
52,2024-08-28 06:37:59.396984924,Laptop,2,1607,Electronics
53,2024-06-10 09:46:07.839195980,Watch,2,1688,Accessories
54,2024-04-18 05:11:09.346733668,Book,1,1274,Stationery
55,2024-01-24 20:15:40.703517587,Shirt,3,1267,Clothing
56,2024-01-15 16:09:38.894472361,Headphones,2,668,Electronics
57,2024-06-12 05:47:20.201005024,Laptop,4,1162,Electronics
58,2024-04-05 09:02:42.814070351,Jeans,2,208,Clothing
59,2024-08-24 14:35:34.673366832,Headphones,2,1816,Electronics
60,2024-06-01 05:40:06.030150754,Shirt,4,1165,Clothing
61,2024-06-15 21:49:44.924623114,Book,1,1309,Stationery
62,2024-07-20 18:12:39.798994974,Book,4,1034,Stationery
63,2024-12-08 23:45:31.658291456,Jeans,1,497,Clothing
64,2024-12-29 03:58:47.638190952,Laptop,1,1346,Electronics
65,2024-11-09 15:26:13.869346732,Pen,1,733,Stationery
66,2024-01-13 20:08:26.532663316,Shoes,4,1256,Footwear
67,2024-11-15 03:29:50.954773868,Laptop,1,1286,Electronics
68,2024-03-03 08:41:00.301507537,Pen,3,1338,Stationery
69,2024-05-26 17:36:28.944723618,Book,4,832,Stationery
70,2024-10-25 23:16:34.974874372,Watch,3,334,Accessories
71,2024-03-30 20:59:05.728643216,Shirt,1,1966,Clothing
